,name,salary,area_name,published_at
0,Системный инженер-стажер поддержки Oracle,18000.0,Москва,2007-10-27T12:09:02+0400
1,Системный администратор Unix,35000.0,Москва,2007-12-04T10:53:58+0300
2,Конструктор,22000.0,Санкт-Петербург,2007-12-04T11:16:28+0300
3,Программист,51000.0,Москва,2007-12-04T19:15:46+0300
4,Системный администратор,45000.0,Москва,2007-12-05T09:17:00+0300
5,Помощник системного администратора,18000.0,Москва,2007-12-05T09:17:46+0300
6,Редактор спецпроектов и сайта,30000.0,Москва,2007-12-05T10:04:50+0300
7,Системный администратор,17000.0,Москва,2007-12-05T11:00:43+0300
8,Инженер по тестированию игровых приложений/ QA Engineer (Games),15000.0,Москва,2007-12-05T11:24:55+0300
9,Консультант в отдел поддержки пользователей,25000.0,Санкт-Петербург,2007-12-05T12:23:04+0300
10,Эксперт по продуктам IBM WebSphere,80000.0,Москва,2007-12-05T13:12:41+0300
11,Специалист сопровождения программного обеспечения,20000.0,Москва,2007-12-05T14:28:51+0300
12,Senior Java Developer,40000.0,Новосибирск,2007-12-05T14:49:49+0300
13,Специалист по тестированию ПО,18000.0,Москва,2007-12-05T15:33:14+0300
14,Бренд-менеджер,70000.0,Москва,2007-12-19T16:09:49+0300
15,Системный администратор,45000.0,Москва,2007-12-05T16:39:47+0300
16,Специалист службы технической поддержки,20000.0,Москва,2007-12-05T17:57:14+0300
17,Системный администратор,10000.0,Нижний Новгород,2007-12-06T09:55:53+0300
18,Менеджер по продажам (направление-Бизнес ПО),40000.0,Москва,2007-12-06T10:31:34+0300
19,Инженер по внедрению системы электронного документооборота (СЭД),25000.0,Москва,2007-12-06T11:36:44+0300
20,Главный специалист отдела анализа и развития технологий Департамента банковских ьехнологий,80000.0,Москва,2007-12-06T13:59:35+0300
21,Сервис инженер,18000.0,Уральский округ,2007-12-06T15:26:08+0300
22,Специалист по поддержке (Siebel),60000.0,Москва,2007-12-06T17:10:30+0300
23,Инженер отдела радиоизмерений и контроля качества связи,25000.0,Москва,2007-12-06T17:51:01+0300
24,"Програмист Delphi, Transact SQL",45000.0,Москва,2007-12-06T17:51:18+0300
25,Удаленный специалист по серверам,20000.0,Москва,2007-12-06T18:36:33+0300
26,Тестировщик ПО,35000.0,Москва,2007-12-06T18:54:55+0300
27,Старший специалист отдела развития Интернет-технологий (Разработчик ASP.NET),50000.0,Москва,2007-12-06T22:14:32+0300
28,Помощник системного администратора,18000.0,Москва,2007-12-07T09:23:02+0300
29,Системный администратор,45000.0,Москва,2007-12-07T09:24:02+0300
30,Программист 1С,60000.0,Москва,2007-12-07T10:06:29+0300
31,Инженер по САПР,20000.0,Красноярск,2007-12-07T10:12:36+0300
32,Руководитель отдела Информационных технологий,73000.0,Москва,2007-12-07T11:09:23+0300
33,Аналитик по информационным технологиям,30000.0,Санкт-Петербург,2007-12-13T15:27:46+0300
34,Системный администратор,8000.0,Самара,2007-12-07T12:00:28+0300
35,Младший программист C++ (Unit tests),78500.0,Москва,2007-12-24T12:18:14+0300
36,Инженер в службу технической поддержки со знанием немецкого языка (support german),33000.0,Москва,2007-12-24T12:18:14+0300
37,Инженер в службу технической поддержки со знанием испанского языка (support spanish),33000.0,Москва,2007-12-24T12:18:14+0300
38,Инженер в службу технической поддержки со знанием французского языка (support french),33000.0,Москва,2007-12-24T12:18:14+0300
39,Технолог,20000.0,Санкт-Петербург,2007-12-14T11:46:17+0300
40,Инженер в службу технической поддержки со знанием голландского языка (support dutch),33000.0,Москва,2007-12-24T12:18:14+0300
41,Инженер в службу технической поддержки со знанием португальского языка (support portuguese),33000.0,Москва,2007-12-24T12:18:14+0300
42,Менеджер CRM,22000.0,Екатеринбург,2007-12-07T16:26:03+0300
43,Начальник отдела методологии,92000.0,Москва,2007-12-07T16:30:33+0300
44,Менеджер CRM,22000.0,Волгоград,2007-12-07T16:34:04+0300
45,Разработчик С/C++,30000.0,Санкт-Петербург,2007-12-07T17:05:20+0300
46,Менеджер проекта,60000.0,Москва,2007-12-07T17:11:50+0300
47,Руководитель проектного офиса,60000.0,Москва,2007-12-07T17:15:06+0300
48,Менеджер по работе с клиентами (операторы связи),35000.0,Москва,2007-12-07T17:37:19+0300
49,"Ведущий специалист отдела поддержки управления данными и приложений, направление поддержки приложений",30000.0,Пермь,2007-12-07T18:16:10+0300
50,Специалист по тестированию ПО,18000.0,Москва,2007-10-29T15:46:01+0300
51,Software engineer,65000.0,Москва,2007-10-30T10:58:09+0300
52,Руководитель офиса обслуживания и продаж,75000.0,Москва,2007-08-24T14:23:26+0400
53,Инженер по мультимедиа системам,42000.0,Москва,2007-11-06T15:46:48+0300
54,Специалист по технической поддержке,35000.0,Москва,2007-12-06T10:49:16+0300
55,Программист 1С,60000.0,Москва,2007-11-15T17:02:58+0300
56,Руководитель IT отдела,70000.0,Москва,2007-11-15T18:52:36+0300
57,Системный администратор,30000.0,Санкт-Петербург,2007-11-30T10:50:13+0300
58,Руководитель проектов по системам безопасности,20000.0,Ярославль,2007-11-16T10:39:14+0300
59,Инженер по САПР,20000.0,Красноярск,2007-11-16T10:46:47+0300
60,Java – программист,50000.0,Санкт-Петербург,2007-12-10T17:27:09+0300
61,Системный администратор,45000.0,Москва,2007-11-16T12:03:39+0300
62,Помощник системного администратора,18000.0,Москва,2007-11-16T12:57:31+0300
63,Оператор БД (ночь),14500.0,Москва,2007-11-16T14:53:05+0300
64,Менеджер по продвижению интернет-проекта,20000.0,Москва,2007-12-06T13:51:15+0300
65,Программист Axapta,65000.0,Москва,2007-11-16T18:34:55+0300
66,QA Engineer,40000.0,Москва,2007-11-26T04:04:41+0300
67,Системный инженер (администратор) в отдел инфраструктурных проектов (E_CS),35000.0,Москва,2007-11-19T04:32:04+0300
68,Инженер в проектную группу документооборота (ES_CS),40000.0,Москва,2007-11-19T04:34:52+0300
69,Product-manager в отдел информационной безопасности (Sec_SL),30000.0,Москва,2007-11-19T04:37:28+0300
70,Старший менеджер абонентского отдела,10000.0,Новосибирск,2007-11-19T07:52:31+0300
71,Системный администратор,30000.0,Краснодар,2007-11-19T09:07:28+0300
72,Менеджер по работе с клиентами,14000.0,Красноярск,2007-11-19T09:10:14+0300
73,Начальник отдела информационных технологий,100000.0,Московская область - Север,2007-12-10T10:17:37+0300
74,Программист 1С 8.0,45000.0,Ростов-на-Дону,2007-12-05T10:44:54+0300
75,Архитектор IT-решений/руководитель проектов,80000.0,Москва,2007-12-19T10:08:43+0300
76,Программист 1С 7.7/8.0,50000.0,Москва,2007-11-19T09:51:11+0300
77,Системный администратор,45000.0,Москва,2007-11-19T10:14:15+0300
78,Ведущий системный аналитик,65000.0,Москва,2007-11-19T11:36:03+0300
79,Помощник системного администратора,18000.0,Москва,2007-11-19T12:14:33+0300
80,Ведущий специалист по проектированию линий связи и электроснабжения автоматизированных систем управления дорожными движениями(АСУ ДД),30000.0,Москва,2007-11-19T13:20:21+0300
81,Мультимедиа-менеджер,30000.0,Санкт-Петербург,2007-12-19T08:51:25+0300
82,Системный администратор,25000.0,Москва,2007-11-19T14:28:03+0300
83,Начальник отдела методологии,92000.0,Москва,2007-11-19T14:47:45+0300
84,Контент менеджер,40000.0,Москва,2007-11-19T15:43:57+0300
85,Специалист ИТО,25000.0,Москва,2007-12-05T10:47:00+0300
86,Системный администратор,26000.0,Москва,2007-12-21T19:41:46+0300
87,Специалист по информационным технологиям,25000.0,Москва,2007-11-19T16:38:39+0300
88,Картограф (руководитель группы создания электронных карт),25000.0,Санкт-Петербург,2007-11-19T16:57:51+0300
89,Руководитель ГИС разработок,45000.0,Санкт-Петербург,2007-11-19T17:17:49+0300
90,Инженер-стажер по системам телефонной связи,24000.0,Москва,2007-12-02T15:59:32+0300
91,Специалист по АСУТП,30000.0,Россия,2007-12-20T03:04:43+0300
92,Менеджер отдела продаж,30000.0,Новосибирск,2007-11-20T07:38:14+0300
93,Программист баз данных,15000.0,Воронеж,2007-11-20T08:36:28+0300
94,Старший инженер по передаче данных и телематике,40000.0,Москва,2007-11-20T09:36:45+0300
95,Начальник производства (программного обеспечения),45000.0,Санкт-Петербург,2007-11-20T11:32:17+0300
96,Менеджер по закупкам компьютерной техники,65000.0,Москва,2007-11-20T11:47:06+0300
97,Специалист технической службы (офисная техника),25000.0,Москва,2007-11-20T12:05:42+0300
98,Веб-программист,35000.0,Санкт-Петербург,2007-11-20T12:34:29+0300
99,Программист,25000.0,Москва,2007-12-20T11:51:56+0300
